Date,"Paracetamolo"
2017-06-21,738
2017-06-22,721
2017-06-23,780
2017-06-24,585
2017-06-25,702
2017-06-26,775
2017-06-27,796
2017-06-28,821
2017-06-29,746
2017-06-30,760
2017-07-01,671
2017-07-02,697
2017-07-03,734
2017-07-04,747
2017-07-05,798
2017-07-06,768
2017-07-07,742
2017-07-08,728
2017-07-09,733
2017-07-10,740
2017-07-11,748
2017-07-12,827
2017-07-13,666
2017-07-14,669
2017-07-15,750
2017-07-16,686
2017-07-17,707
2017-07-18,823
2017-07-19,783
2017-07-20,753
2017-07-21,935
2017-07-22,655
2017-07-23,683
2017-07-24,727
2017-07-25,686
2017-07-26,697
2017-07-27,656
2017-07-28,644
2017-07-29,601
2017-07-30,566
2017-07-31,580
2017-08-01,601
2017-08-02,621
2017-08-03,645
2017-08-04,638
2017-08-05,589
2017-08-06,558
2017-08-07,693
2017-08-08,661
2017-08-09,620
2017-08-10,691
2017-08-11,642
2017-08-12,645
2017-08-13,736
2017-08-14,703
2017-08-15,887
2017-08-16,870
2017-08-17,765
2017-08-18,685
2017-08-19,654
2017-08-20,593
2017-08-21,732
2017-08-22,804
2017-08-23,798
2017-08-24,681
2017-08-25,750
2017-08-26,619
2017-08-27,651
2017-08-28,673
2017-08-29,701
2017-08-30,735
2017-08-31,896
2017-09-01,862
2017-09-02,822
2017-09-03,838
2017-09-04,822
2017-09-05,898
2017-09-06,801
2017-09-07,856
2017-09-08,787
2017-09-09,724
2017-09-10,728
2017-09-11,851
2017-09-12,776
2017-09-13,835
2017-09-14,835
2017-09-15,897
2017-09-16,845
2017-09-17,862
2017-09-18,885
2017-09-19,929
2017-09-20,959
2017-09-21,997
2017-09-22,864
2017-09-23,918
2017-09-24,1021
2017-09-25,1026
2017-09-26,1129
2017-09-27,1191
2017-09-28,1262
2017-09-29,1159
2017-09-30,1021
2017-10-01,1068
2017-10-02,1096
2017-10-03,1264
2017-10-04,1222
2017-10-05,1114
2017-10-06,1053
2017-10-07,1009
2017-10-08,1017
2017-10-09,1025
2017-10-10,1102
2017-10-11,1087
2017-10-12,1045
2017-10-13,995
2017-10-14,877
2017-10-15,923
2017-10-16,1050
2017-10-17,1124
2017-10-18,1115
2017-10-19,1003
2017-10-20,963
2017-10-21,853
2017-10-22,917
2017-10-23,925
2017-10-24,1003
2017-10-25,1038
2017-10-26,914
2017-10-27,907
2017-10-28,800
2017-10-29,855
2017-10-30,977
2017-10-31,983
2017-11-01,945
2017-11-02,977
2017-11-03,1052
2017-11-04,935
2017-11-05,1103
2017-11-06,992
2017-11-07,999
2017-11-08,991
2017-11-09,1009
2017-11-10,961
2017-11-11,810
2017-11-12,915
2017-11-13,889
2017-11-14,964
2017-11-15,1128
2017-11-16,1008
2017-11-17,988
2017-11-18,902
2017-11-19,926
2017-11-20,1000
2017-11-21,1033
2017-11-22,1128
2017-11-23,995
2017-11-24,1145
2017-11-25,908
2017-11-26,895
2017-11-27,1019
2017-11-28,1097
2017-11-29,1075
2017-11-30,1007
2017-12-01,974
2017-12-02,1008
2017-12-03,923
2017-12-04,986
2017-12-05,1052
2017-12-06,1094
2017-12-07,939
2017-12-08,994
2017-12-09,1003
2017-12-10,956
2017-12-11,1083
2017-12-12,1238
2017-12-13,1200
2017-12-14,1173
2017-12-15,1170
2017-12-16,1162
2017-12-17,1241
2017-12-18,1282
2017-12-19,1257
2017-12-20,1168
2017-12-21,1204
2017-12-22,1100
2017-12-23,1203
2017-12-24,1220
2017-12-25,1445
2017-12-26,1759
2017-12-27,1705
2017-12-28,1851
2017-12-29,1933
2017-12-30,1874
2017-12-31,1711
2018-01-01,1686
2018-01-02,1837
2018-01-03,1896
2018-01-04,1947
2018-01-05,1723
2018-01-06,1763
2018-01-07,1672
2018-01-08,1452
2018-01-09,1583
2018-01-10,1585
2018-01-11,1490
2018-01-12,1366
2018-01-13,1236
2018-01-14,1354
2018-01-15,1272
2018-01-16,1339
2018-01-17,1352
2018-01-18,1332
2018-01-19,1306
2018-01-20,1241
2018-01-21,1247
2018-01-22,1283
2018-01-23,1238
2018-01-24,1201
2018-01-25,1187
2018-01-26,1215
2018-01-27,1162
2018-01-28,1082
2018-01-29,1108
2018-01-30,1175
2018-01-31,1141
2018-02-01,1055
2018-02-02,1124
2018-02-03,1153
2018-02-04,984
2018-02-05,1095
2018-02-06,1148
2018-02-07,1049
2018-02-08,1095
2018-02-09,973
2018-02-10,1034
2018-02-11,966
2018-02-12,1129
2018-02-13,1068
2018-02-14,946
2018-02-15,1004
2018-02-16,985
2018-02-17,1054
2018-02-18,1053
2018-02-19,1023
2018-02-20,1021
2018-02-21,1148
2018-02-22,1064
2018-02-23,952
2018-02-24,945
2018-02-25,950
2018-02-26,914
2018-02-27,952
2018-02-28,926
2018-03-01,906
2018-03-02,873
2018-03-03,804
2018-03-04,767
2018-03-05,754
2018-03-06,945
2018-03-07,903
2018-03-08,833
2018-03-09,933
2018-03-10,859
2018-03-11,951
2018-03-12,931
2018-03-13,897
2018-03-14,856
2018-03-15,935
2018-03-16,761
2018-03-17,765
2018-03-18,812
2018-03-19,879
2018-03-20,922
2018-03-21,1016
2018-03-22,1010
2018-03-23,945
2018-03-24,984
2018-03-25,1015
2018-03-26,1006
2018-03-27,993
2018-03-28,984
2018-03-29,993
2018-03-30,923
2018-03-31,913
2018-04-01,750
2018-04-02,670
2018-04-03,844
2018-04-04,1006
2018-04-05,950
2018-04-06,956
2018-04-07,909
2018-04-08,916
2018-04-09,921
2018-04-10,926
2018-04-11,878
2018-04-12,840
2018-04-13,840
2018-04-14,861
2018-04-15,884
2018-04-16,898
2018-04-17,819
2018-04-18,829
2018-04-19,882
2018-04-20,771
2018-04-21,708
2018-04-22,730
2018-04-23,731
2018-04-24,704
2018-04-25,785
2018-04-26,760
2018-04-27,752
2018-04-28,778
2018-04-29,723
2018-04-30,881
2018-05-01,816
2018-05-02,795
2018-05-03,833
2018-05-04,769
2018-05-05,729
2018-05-06,725
2018-05-07,748
2018-05-08,766
2018-05-09,824
2018-05-10,747
2018-05-11,782
2018-05-12,731
2018-05-13,733
2018-05-14,855
2018-05-15,1443
2018-05-16,4360
2018-05-17,2511
2018-05-18,1740
2018-05-19,1431
2018-05-20,1414
2018-05-21,1598
2018-05-22,1543
2018-05-23,1419
2018-05-24,1371
2018-05-25,1372
2018-05-26,1349
2018-05-27,1287
2018-05-28,1390
2018-05-29,1282
2018-05-30,1320
2018-05-31,1259
2018-06-01,1114
2018-06-02,1127
2018-06-03,1177
2018-06-04,1220
2018-06-05,1066
2018-06-06,1164
2018-06-07,1030
2018-06-08,1216
2018-06-09,1113
2018-06-10,1118
2018-06-11,1641
2018-06-12,1576
2018-06-13,1384
2018-06-14,1368
2018-06-15,1228
2018-06-16,1128
2018-06-17,1158
2018-06-18,1214
2018-06-19,1158
2018-06-20,1168
2018-06-21,1090
2018-06-22,1160
2018-06-23,1178
2018-06-24,1155
2018-06-25,1202
2018-06-26,1279
2018-06-27,1191
2018-06-28,1164
2018-06-29,1146
2018-06-30,1000
2018-07-01,977
2018-07-02,1159
2018-07-03,1132
2018-07-04,966
2018-07-05,925
2018-07-06,968
2018-07-07,921
2018-07-08,908
2018-07-09,1186
2018-07-10,1017
2018-07-11,992
2018-07-12,935
2018-07-13,1028
2018-07-14,873
2018-07-15,890
2018-07-16,975
2018-07-17,1027
2018-07-18,993
2018-07-19,971
2018-07-20,905
2018-07-21,917
2018-07-22,969
2018-07-23,1038
2018-07-24,988
2018-07-25,1025
2018-07-26,959
2018-07-27,873
2018-07-28,910
2018-07-29,945
2018-07-30,1008
2018-07-31,866
2018-08-01,951
2018-08-02,996
2018-08-03,928
2018-08-04,969
2018-08-05,1240
2018-08-06,1015
2018-08-07,1049
2018-08-08,1055
2018-08-09,1169
2018-08-10,1049
2018-08-11,915
2018-08-12,947
2018-08-13,1038
2018-08-14,1016
2018-08-15,1072
2018-08-16,995
2018-08-17,957
2018-08-18,942
2018-08-19,978
2018-08-20,1042
2018-08-21,921
2018-08-22,1144
2018-08-23,1014
2018-08-24,953
2018-08-25,988
2018-08-26,969
2018-08-27,1002
2018-08-28,1038
2018-08-29,1062
2018-08-30,1016
2018-08-31,955
2018-09-01,939
2018-09-02,908
2018-09-03,1032
2018-09-04,1026
2018-09-05,1008
2018-09-06,976
2018-09-07,999
2018-09-08,832
2018-09-09,890
2018-09-10,918
2018-09-11,791
2018-09-12,843
2018-09-13,809
2018-09-14,765
2018-09-15,809
2018-09-16,732
2018-09-17,771
2018-09-18,841
2018-09-19,913
2018-09-20,729
2018-09-21,769
2018-09-22,785
2018-09-23,771
2018-09-24,801
2018-09-25,775
2018-09-26,880
2018-09-27,894
2018-09-28,822
2018-09-29,740
2018-09-30,799
2018-10-01,871
2018-10-02,860
2018-10-03,841
2018-10-04,886
2018-10-05,970
2018-10-06,960
2018-10-07,1007
2018-10-08,1121
2018-10-09,1195
2018-10-10,1173
2018-10-11,1143
2018-10-12,1043
2018-10-13,1084
2018-10-14,1154
2018-10-15,1188
2018-10-16,1382
2018-10-17,1286
2018-10-18,1068
2018-10-19,1015
2018-10-20,925
2018-10-21,1007
2018-10-22,1035
2018-10-23,1046
2018-10-24,900
2018-10-25,993
2018-10-26,880
2018-10-27,853
2018-10-28,879
2018-10-29,803
