Date,"Vaccino"
2016-12-30,734
2016-12-31,297
2017-01-01,419
2017-01-02,1177
2017-01-03,1313
2017-01-04,1013
2017-01-05,786
2017-01-06,490
2017-01-07,388
2017-01-08,459
2017-01-09,624
2017-01-10,714
2017-01-11,674
2017-01-12,604
2017-01-13,602
2017-01-14,499
2017-01-15,509
2017-01-16,560
2017-01-17,556
2017-01-18,542
2017-01-19,507
2017-01-20,353
2017-01-21,311
2017-01-22,298
2017-01-23,582
2017-01-24,423
2017-01-25,466
2017-01-26,651
2017-01-27,523
2017-01-28,366
2017-01-29,361
2017-01-30,523
2017-01-31,421
2017-02-01,477
2017-02-02,460
2017-02-03,373
2017-02-04,359
2017-02-05,384
2017-02-06,474
2017-02-07,437
2017-02-08,477
2017-02-09,506
2017-02-10,444
2017-02-11,309
2017-02-12,399
2017-02-13,436
2017-02-14,394
2017-02-15,410
2017-02-16,465
2017-02-17,380
2017-02-18,334
2017-02-19,335
2017-02-20,487
2017-02-21,493
2017-02-22,521
2017-02-23,471
2017-02-24,338
2017-02-25,195
2017-02-26,234
2017-02-27,307
2017-02-28,334
2017-03-01,340
2017-03-02,350
2017-03-03,248
2017-03-04,230
2017-03-05,269
2017-03-06,310
2017-03-07,293
2017-03-08,292
2017-03-09,300
2017-03-10,228
2017-03-11,239
2017-03-12,223
2017-03-13,352
2017-03-14,313
2017-03-15,413
2017-03-16,359
2017-03-17,481
2017-03-18,351
2017-03-19,367
2017-03-20,392
2017-03-21,567
2017-03-22,565
2017-03-23,487
2017-03-24,388
2017-03-25,267
2017-03-26,273
2017-03-27,372
2017-03-28,341
2017-03-29,457
2017-03-30,390
2017-03-31,400
2017-04-01,286
2017-04-02,333
2017-04-03,432
2017-04-04,382
2017-04-05,418
2017-04-06,358
2017-04-07,378
2017-04-08,289
2017-04-09,309
2017-04-10,399
2017-04-11,368
2017-04-12,315
2017-04-13,362
2017-04-14,261
2017-04-15,190
2017-04-16,172
2017-04-17,239
2017-04-18,495
2017-04-19,850
2017-04-20,894
2017-04-21,691
2017-04-22,733
2017-04-23,458
2017-04-24,488
2017-04-25,592
2017-04-26,660
2017-04-27,580
2017-04-28,472
2017-04-29,289
2017-04-30,280
2017-05-01,379
2017-05-02,467
2017-05-03,766
2017-05-04,648
2017-05-05,539
2017-05-06,319
2017-05-07,392
2017-05-08,530
2017-05-09,558
2017-05-10,477
2017-05-11,590
2017-05-12,723
2017-05-13,376
2017-05-14,419
2017-05-15,502
2017-05-16,504
2017-05-17,528
2017-05-18,458
2017-05-19,883
2017-05-20,2615
2017-05-21,2006
2017-05-22,1963
2017-05-23,1570
2017-05-24,1353
2017-05-25,1217
2017-05-26,912
2017-05-27,883
2017-05-28,680
2017-05-29,826
2017-05-30,878
2017-05-31,947
2017-06-01,678
2017-06-02,590
2017-06-03,514
2017-06-04,558
2017-06-05,689
2017-06-06,657
2017-06-07,733
2017-06-08,712
2017-06-09,755
2017-06-10,461
2017-06-11,581
2017-06-12,780
2017-06-13,770
2017-06-14,832
2017-06-15,721
2017-06-16,612
2017-06-17,459
2017-06-18,509
2017-06-19,908
2017-06-20,1150
2017-06-21,1098
2017-06-22,629
2017-06-23,709
2017-06-24,541
2017-06-25,505
2017-06-26,566
2017-06-27,534
2017-06-28,803
2017-06-29,701
2017-06-30,507
2017-07-01,357
2017-07-02,442
2017-07-03,465
2017-07-04,482
2017-07-05,543
2017-07-06,546
2017-07-07,413
2017-07-08,314
2017-07-09,366
2017-07-10,401
2017-07-11,529
2017-07-12,618
2017-07-13,580
2017-07-14,462
2017-07-15,358
2017-07-16,426
2017-07-17,409
2017-07-18,447
2017-07-19,440
2017-07-20,462
2017-07-21,385
2017-07-22,341
2017-07-23,344
2017-07-24,527
2017-07-25,411
2017-07-26,358
2017-07-27,339
2017-07-28,723
2017-07-29,541
2017-07-30,486
2017-07-31,480
2017-08-01,404
2017-08-02,419
2017-08-03,269
2017-08-04,290
2017-08-05,225
2017-08-06,227
2017-08-07,339
2017-08-08,286
2017-08-09,299
2017-08-10,337
2017-08-11,240
2017-08-12,191
2017-08-13,166
2017-08-14,178
2017-08-15,125
2017-08-16,215
2017-08-17,261
2017-08-18,260
2017-08-19,205
2017-08-20,199
2017-08-21,233
2017-08-22,248
2017-08-23,326
2017-08-24,323
2017-08-25,227
2017-08-26,234
2017-08-27,267
2017-08-28,318
2017-08-29,376
2017-08-30,394
2017-08-31,413
2017-09-01,509
2017-09-02,383
2017-09-03,424
2017-09-04,537
2017-09-05,780
2017-09-06,754
2017-09-07,762
2017-09-08,694
2017-09-09,508
2017-09-10,479
2017-09-11,632
2017-09-12,840
2017-09-13,680
2017-09-14,790
2017-09-15,793
2017-09-16,463
2017-09-17,522
2017-09-18,555
2017-09-19,638
2017-09-20,587
2017-09-21,480
2017-09-22,460
2017-09-23,315
2017-09-24,362
2017-09-25,530
2017-09-26,524
2017-09-27,562
2017-09-28,542
2017-09-29,397
2017-09-30,312
2017-10-01,409
2017-10-02,552
2017-10-03,561
2017-10-04,558
2017-10-05,521
2017-10-06,390
2017-10-07,282
2017-10-08,391
2017-10-09,506
2017-10-10,448
2017-10-11,472
2017-10-12,416
2017-10-13,401
2017-10-14,288
2017-10-15,284
2017-10-16,466
2017-10-17,446
2017-10-18,456
2017-10-19,404
2017-10-20,346
2017-10-21,291
2017-10-22,406
2017-10-23,465
2017-10-24,500
2017-10-25,436
2017-10-26,416
2017-10-27,308
2017-10-28,253
2017-10-29,275
2017-10-30,419
2017-10-31,332
2017-11-01,312
2017-11-02,337
2017-11-03,413
2017-11-04,296
2017-11-05,372
2017-11-06,442
2017-11-07,500
2017-11-08,465
2017-11-09,548
2017-11-10,468
2017-11-11,283
2017-11-12,361
2017-11-13,385
2017-11-14,496
2017-11-15,528
2017-11-16,522
2017-11-17,447
2017-11-18,318
2017-11-19,382
2017-11-20,384
2017-11-21,437
2017-11-22,479
2017-11-23,576
2017-11-24,366
2017-11-25,382
2017-11-26,407
2017-11-27,429
2017-11-28,431
2017-11-29,391
2017-11-30,324
2017-12-01,456
2017-12-02,239
2017-12-03,326
2017-12-04,347
2017-12-05,361
2017-12-06,367
2017-12-07,340
2017-12-08,247
2017-12-09,222
2017-12-10,322
2017-12-11,391
2017-12-12,420
2017-12-13,371
2017-12-14,380
2017-12-15,309
2017-12-16,206
2017-12-17,260
2017-12-18,333
2017-12-19,349
2017-12-20,315
2017-12-21,240
2017-12-22,158
2017-12-23,106
2017-12-24,105
2017-12-25,117
2017-12-26,179
2017-12-27,239
2017-12-28,213
2017-12-29,230
2017-12-30,241
2017-12-31,110
2018-01-01,125
2018-01-02,227
2018-01-03,273
2018-01-04,289
2018-01-05,259
2018-01-06,212
2018-01-07,301
2018-01-08,307
2018-01-09,439
2018-01-10,526
2018-01-11,553
2018-01-12,390
2018-01-13,286
2018-01-14,352
2018-01-15,480
2018-01-16,569
2018-01-17,582
2018-01-18,561
2018-01-19,395
2018-01-20,306
2018-01-21,373
2018-01-22,495
2018-01-23,491
2018-01-24,416
2018-01-25,381
2018-01-26,358
2018-01-27,298
2018-01-28,301
2018-01-29,395
2018-01-30,494
2018-01-31,364
2018-02-01,384
2018-02-02,452
2018-02-03,326
2018-02-04,319
2018-02-05,464
2018-02-06,440
2018-02-07,438
2018-02-08,461
2018-02-09,337
2018-02-10,238
2018-02-11,267
2018-02-12,370
2018-02-13,379
2018-02-14,318
2018-02-15,424
2018-02-16,349
2018-02-17,229
2018-02-18,313
2018-02-19,407
2018-02-20,440
2018-02-21,531
2018-02-22,373
2018-02-23,377
2018-02-24,268
2018-02-25,359
2018-02-26,363
2018-02-27,358
2018-02-28,361
2018-03-01,431
2018-03-02,293
2018-03-03,308
2018-03-04,306
2018-03-05,421
2018-03-06,354
2018-03-07,363
2018-03-08,316
2018-03-09,399
2018-03-10,382
2018-03-11,398
2018-03-12,559
2018-03-13,421
2018-03-14,505
2018-03-15,558
2018-03-16,388
2018-03-17,326
2018-03-18,310
2018-03-19,424
2018-03-20,444
2018-03-21,396
2018-03-22,400
2018-03-23,353
2018-03-24,299
2018-03-25,276
2018-03-26,412
2018-03-27,441
2018-03-28,375
2018-03-29,264
2018-03-30,235
2018-03-31,218
2018-04-01,177
2018-04-02,164
2018-04-03,381
2018-04-04,368
2018-04-05,476
2018-04-06,475
2018-04-07,305
2018-04-08,359
2018-04-09,368
2018-04-10,413
2018-04-11,419
2018-04-12,451
2018-04-13,309
2018-04-14,231
2018-04-15,286
2018-04-16,390
2018-04-17,351
2018-04-18,452
2018-04-19,394
2018-04-20,369
2018-04-21,209
2018-04-22,261
2018-04-23,301
2018-04-24,340
2018-04-25,277
2018-04-26,353
2018-04-27,277
2018-04-28,234
2018-04-29,226
2018-04-30,294
2018-05-01,249
2018-05-02,464
2018-05-03,480
2018-05-04,403
2018-05-05,324
2018-05-06,375
2018-05-07,486
2018-05-08,416
2018-05-09,441
2018-05-10,502
2018-05-11,432
2018-05-12,380
2018-05-13,387
2018-05-14,530
2018-05-15,523
2018-05-16,511
2018-05-17,563
2018-05-18,470
2018-05-19,308
2018-05-20,367
2018-05-21,517
2018-05-22,504
2018-05-23,544
2018-05-24,436
2018-05-25,343
2018-05-26,356
2018-05-27,356
2018-05-28,491
2018-05-29,458
2018-05-30,485
2018-05-31,464
2018-06-01,390
2018-06-02,350
2018-06-03,419
2018-06-04,456
2018-06-05,483
2018-06-06,417
2018-06-07,496
2018-06-08,407
2018-06-09,316
2018-06-10,320
2018-06-11,449
2018-06-12,435
2018-06-13,440
2018-06-14,467
2018-06-15,316
2018-06-16,327
2018-06-17,362
2018-06-18,436
2018-06-19,448
2018-06-20,486
2018-06-21,447
2018-06-22,601
2018-06-23,507
2018-06-24,497
2018-06-25,489
2018-06-26,481
2018-06-27,372
2018-06-28,468
2018-06-29,332
2018-06-30,300
2018-07-01,336
2018-07-02,420
2018-07-03,368
2018-07-04,347
2018-07-05,463
2018-07-06,480
2018-07-07,352
2018-07-08,350
2018-07-09,201
2018-07-10,210
2018-07-11,202
2018-07-12,179
2018-07-13,176
2018-07-14,183
2018-07-15,255
2018-07-16,281
2018-07-17,275
2018-07-18,287
2018-07-19,245
2018-07-20,216
2018-07-21,174
2018-07-22,165
2018-07-23,248
2018-07-24,276
2018-07-25,368
2018-07-26,331
2018-07-27,202
2018-07-28,175
2018-07-29,156
2018-07-30,193
2018-07-31,193
2018-08-01,190
2018-08-02,293
2018-08-03,235
2018-08-04,302
2018-08-05,488
2018-08-06,645
2018-08-07,771
2018-08-08,744
2018-08-09,892
2018-08-10,673
2018-08-11,602
2018-08-12,703
2018-08-13,494
2018-08-14,417
2018-08-15,302
2018-08-16,319
2018-08-17,285
2018-08-18,243
2018-08-19,262
2018-08-20,378
2018-08-21,326
2018-08-22,308
2018-08-23,342
2018-08-24,271
2018-08-25,207
2018-08-26,258
2018-08-27,333
2018-08-28,427
2018-08-29,443
2018-08-30,367
2018-08-31,414
2018-09-01,281
2018-09-02,272
2018-09-03,482
2018-09-04,491
2018-09-05,521
2018-09-06,643
2018-09-07,424
2018-09-08,387
2018-09-09,404
2018-09-10,412
2018-09-11,561
2018-09-12,624
2018-09-13,572
2018-09-14,418
2018-09-15,267
2018-09-16,359
2018-09-17,346
2018-09-18,435
2018-09-19,376
2018-09-20,386
2018-09-21,355
2018-09-22,245
2018-09-23,318
2018-09-24,445
2018-09-25,441
2018-09-26,407
2018-09-27,424
2018-09-28,324
2018-09-29,205
2018-09-30,259
2018-10-01,383
2018-10-02,331
2018-10-03,342
2018-10-04,360
2018-10-05,278
2018-10-06,261
2018-10-07,341
2018-10-08,299
2018-10-09,360
2018-10-10,442
2018-10-11,284
2018-10-12,256
2018-10-13,259
2018-10-14,601
2018-10-15,266
2018-10-16,289
2018-10-17,342
2018-10-18,346
2018-10-19,342
2018-10-20,245
2018-10-21,298
2018-10-22,331
2018-10-23,305
2018-10-24,365
2018-10-25,356
2018-10-26,248
2018-10-27,181
2018-10-28,260
2018-10-29,284
2018-10-30,269
2018-10-31,247
2018-11-01,210
2018-11-02,285
2018-11-03,241
2018-11-04,401
2018-11-05,406
2018-11-06,315
