Date,"Febbre"
2017-02-04,642
2017-02-05,696
2017-02-06,732
2017-02-07,719
2017-02-08,712
2017-02-09,672
2017-02-10,565
2017-02-11,557
2017-02-12,598
2017-02-13,621
2017-02-14,554
2017-02-15,611
2017-02-16,618
2017-02-17,544
2017-02-18,524
2017-02-19,606
2017-02-20,626
2017-02-21,642
2017-02-22,596
2017-02-23,552
2017-02-24,547
2017-02-25,415
2017-02-26,449
2017-02-27,560
2017-02-28,511
2017-03-01,444
2017-03-02,493
2017-03-03,509
2017-03-04,450
2017-03-05,504
2017-03-06,552
2017-03-07,490
2017-03-08,472
2017-03-09,475
2017-03-10,488
2017-03-11,509
2017-03-12,475
2017-03-13,549
2017-03-14,509
2017-03-15,453
2017-03-16,491
2017-03-17,497
2017-03-18,424
2017-03-19,488
2017-03-20,513
2017-03-21,635
2017-03-22,561
2017-03-23,459
2017-03-24,466
2017-03-25,421
2017-03-26,483
2017-03-27,514
2017-03-28,507
2017-03-29,515
2017-03-30,460
2017-03-31,411
2017-04-01,365
2017-04-02,505
2017-04-03,485
2017-04-04,526
2017-04-05,474
2017-04-06,468
2017-04-07,434
2017-04-08,372
2017-04-09,380
2017-04-10,485
2017-04-11,513
2017-04-12,392
2017-04-13,392
2017-04-14,297
2017-04-15,384
2017-04-16,303
2017-04-17,347
2017-04-18,485
2017-04-19,457
2017-04-20,477
2017-04-21,417
2017-04-22,424
2017-04-23,423
2017-04-24,387
2017-04-25,417
2017-04-26,438
2017-04-27,437
2017-04-28,350
2017-04-29,382
2017-04-30,305
2017-05-01,356
2017-05-02,392
2017-05-03,393
2017-05-04,440
2017-05-05,372
2017-05-06,391
2017-05-07,374
2017-05-08,416
2017-05-09,427
2017-05-10,603
2017-05-11,514
2017-05-12,327
2017-05-13,309
2017-05-14,341
2017-05-15,415
2017-05-16,375
2017-05-17,454
2017-05-18,414
2017-05-19,384
2017-05-20,388
2017-05-21,406
2017-05-22,461
2017-05-23,448
2017-05-24,380
2017-05-25,454
2017-05-26,341
2017-05-27,347
2017-05-28,341
2017-05-29,453
2017-05-30,430
2017-05-31,425
2017-06-01,356
2017-06-02,380
2017-06-03,280
2017-06-04,340
2017-06-05,388
2017-06-06,398
2017-06-07,434
2017-06-08,343
2017-06-09,311
2017-06-10,322
2017-06-11,340
2017-06-12,357
2017-06-13,400
2017-06-14,363
2017-06-15,370
2017-06-16,340
2017-06-17,296
2017-06-18,388
2017-06-19,399
2017-06-20,433
2017-06-21,382
2017-06-22,365
2017-06-23,306
2017-06-24,278
2017-06-25,346
2017-06-26,340
2017-06-27,338
2017-06-28,339
2017-06-29,325
2017-06-30,316
2017-07-01,289
2017-07-02,304
2017-07-03,351
2017-07-04,342
2017-07-05,411
2017-07-06,387
2017-07-07,312
2017-07-08,306
2017-07-09,359
2017-07-10,395
2017-07-11,350
2017-07-12,357
2017-07-13,396
2017-07-14,290
2017-07-15,281
2017-07-16,290
2017-07-17,364
2017-07-18,379
2017-07-19,329
2017-07-20,332
2017-07-21,276
2017-07-22,255
2017-07-23,292
2017-07-24,293
2017-07-25,288
2017-07-26,301
2017-07-27,338
2017-07-28,270
2017-07-29,244
2017-07-30,200
2017-07-31,309
2017-08-01,262
2017-08-02,244
2017-08-03,262
2017-08-04,249
2017-08-05,226
2017-08-06,249
2017-08-07,280
2017-08-08,291
2017-08-09,286
2017-08-10,244
2017-08-11,262
2017-08-12,266
2017-08-13,237
2017-08-14,260
2017-08-15,247
2017-08-16,299
2017-08-17,297
2017-08-18,292
2017-08-19,301
2017-08-20,281
2017-08-21,324
2017-08-22,342
2017-08-23,364
2017-08-24,336
2017-08-25,322
2017-08-26,305
2017-08-27,291
2017-08-28,325
2017-08-29,363
2017-08-30,325
2017-08-31,343
2017-09-01,364
2017-09-02,281
2017-09-03,347
2017-09-04,362
2017-09-05,402
2017-09-06,439
2017-09-07,361
2017-09-08,350
2017-09-09,312
2017-09-10,312
2017-09-11,403
2017-09-12,401
2017-09-13,373
2017-09-14,402
2017-09-15,329
2017-09-16,384
2017-09-17,362
2017-09-18,448
2017-09-19,492
2017-09-20,501
2017-09-21,481
2017-09-22,432
2017-09-23,449
2017-09-24,550
2017-09-25,774
2017-09-26,716
2017-09-27,612
2017-09-28,513
2017-09-29,503
2017-09-30,428
2017-10-01,471
2017-10-02,540
2017-10-03,543
2017-10-04,476
2017-10-05,498
2017-10-06,421
2017-10-07,394
2017-10-08,469
2017-10-09,541
2017-10-10,408
2017-10-11,377
2017-10-12,404
2017-10-13,406
2017-10-14,349
2017-10-15,395
2017-10-16,445
2017-10-17,409
2017-10-18,382
2017-10-19,418
2017-10-20,397
2017-10-21,359
2017-10-22,372
2017-10-23,453
2017-10-24,429
2017-10-25,1259
2017-10-26,642
2017-10-27,437
2017-10-28,386
2017-10-29,413
2017-10-30,420
2017-10-31,376
2017-11-01,417
2017-11-02,427
2017-11-03,466
2017-11-04,414
2017-11-05,365
2017-11-06,402
2017-11-07,460
2017-11-08,428
2017-11-09,368
2017-11-10,434
2017-11-11,349
2017-11-12,400
2017-11-13,528
2017-11-14,455
2017-11-15,520
2017-11-16,483
2017-11-17,412
2017-11-18,356
2017-11-19,385
2017-11-20,516
2017-11-21,489
2017-11-22,574
2017-11-23,444
2017-11-24,461
2017-11-25,424
2017-11-26,510
2017-11-27,590
2017-11-28,440
2017-11-29,402
2017-11-30,425
2017-12-01,341
2017-12-02,362
2017-12-03,380
2017-12-04,455
2017-12-05,426
2017-12-06,353
2017-12-07,377
2017-12-08,419
2017-12-09,361
2017-12-10,446
2017-12-11,474
2017-12-12,479
2017-12-13,487
2017-12-14,470
2017-12-15,410
2017-12-16,379
2017-12-17,477
2017-12-18,489
2017-12-19,458
2017-12-20,471
2017-12-21,486
2017-12-22,435
2017-12-23,466
2017-12-24,479
2017-12-25,555
2017-12-26,760
2017-12-27,846
2017-12-28,892
2017-12-29,916
2017-12-30,859
2017-12-31,651
2018-01-01,666
2018-01-02,927
2018-01-03,923
2018-01-04,917
2018-01-05,851
2018-01-06,784
2018-01-07,894
2018-01-08,829
2018-01-09,838
2018-01-10,835
2018-01-11,683
2018-01-12,724
2018-01-13,709
2018-01-14,669
2018-01-15,690
2018-01-16,713
2018-01-17,667
2018-01-18,681
2018-01-19,623
2018-01-20,631
2018-01-21,638
2018-01-22,650
2018-01-23,784
2018-01-24,656
2018-01-25,736
2018-01-26,667
2018-01-27,649
2018-01-28,668
2018-01-29,668
2018-01-30,726
2018-01-31,627
2018-02-01,615
2018-02-02,524
2018-02-03,549
2018-02-04,550
2018-02-05,599
2018-02-06,599
2018-02-07,545
2018-02-08,545
2018-02-09,457
2018-02-10,485
2018-02-11,474
2018-02-12,557
2018-02-13,509
2018-02-14,532
2018-02-15,493
2018-02-16,460
2018-02-17,459
2018-02-18,516
2018-02-19,547
2018-02-20,493
2018-02-21,504
2018-02-22,497
2018-02-23,390
2018-02-24,392
2018-02-25,424
2018-02-26,438
2018-02-27,462
2018-02-28,440
2018-03-01,414
2018-03-02,440
2018-03-03,378
2018-03-04,350
2018-03-05,381
2018-03-06,389
2018-03-07,385
2018-03-08,376
2018-03-09,389
2018-03-10,356
2018-03-11,389
2018-03-12,395
2018-03-13,392
2018-03-14,393
2018-03-15,391
2018-03-16,355
2018-03-17,342
2018-03-18,389
2018-03-19,383
2018-03-20,384
2018-03-21,382
2018-03-22,329
2018-03-23,333
2018-03-24,308
2018-03-25,345
2018-03-26,387
2018-03-27,382
2018-03-28,370
2018-03-29,310
2018-03-30,314
2018-03-31,293
2018-04-01,253
2018-04-02,271
2018-04-03,281
2018-04-04,361
2018-04-05,344
2018-04-06,287
2018-04-07,280
2018-04-08,287
2018-04-09,331
2018-04-10,301
2018-04-11,294
2018-04-12,269
2018-04-13,278
2018-04-14,263
2018-04-15,297
2018-04-16,261
2018-04-17,294
2018-04-18,255
2018-04-19,268
2018-04-20,266
2018-04-21,217
2018-04-22,227
2018-04-23,281
2018-04-24,297
2018-04-25,246
2018-04-26,258
2018-04-27,268
2018-04-28,198
2018-04-29,203
2018-04-30,269
2018-05-01,289
2018-05-02,363
