Date,"Pagina principale"
2017-03-28,1100134
2017-03-29,1090056
2017-03-30,1097866
2017-03-31,1065847
2017-04-01,1033226
2017-04-02,1079646
2017-04-03,1092282
2017-04-04,1094703
2017-04-05,1092168
2017-04-06,1074009
2017-04-07,1067297
2017-04-08,1010188
2017-04-09,1005687
2017-04-10,1195796
2017-04-11,1286409
2017-04-12,1099615
2017-04-13,1052002
2017-04-14,1031461
2017-04-15,992459
2017-04-16,963203
2017-04-17,995008
2017-04-18,1092259
2017-04-19,1044077
2017-04-20,1044842
2017-04-21,1021974
2017-04-22,974486
2017-04-23,965660
2017-04-24,995159
2017-04-25,959720
2017-04-26,1011662
2017-04-27,984022
2017-04-28,971185
2017-04-29,926416
2017-04-30,908427
2017-05-01,958594
2017-05-02,977869
2017-05-03,980582
2017-05-04,959152
2017-05-05,943903
2017-05-06,936162
2017-05-07,939053
2017-05-08,982914
2017-05-09,957603
2017-05-10,937906
2017-05-11,938221
2017-05-12,973298
2017-05-13,890873
2017-05-14,885647
2017-05-15,941332
2017-05-16,951261
2017-05-17,954427
2017-05-18,964518
2017-05-19,956807
2017-05-20,903908
2017-05-21,898643
2017-05-22,957739
2017-05-23,941348
2017-05-24,955637
2017-05-25,964807
2017-05-26,934836
2017-05-27,866687
2017-05-28,890874
2017-05-29,963807
2017-05-30,958231
2017-05-31,941093
2017-06-01,937773
2017-06-02,942979
2017-06-03,871451
2017-06-04,884462
2017-06-05,935469
2017-06-06,949596
2017-06-07,909005
2017-06-08,892884
2017-06-09,878590
2017-06-10,813206
2017-06-11,818849
2017-06-12,878234
2017-06-13,857195
2017-06-14,881474
2017-06-15,872055
2017-06-16,853011
2017-06-17,802714
2017-06-18,794572
2017-06-19,871128
2017-06-20,890881
2017-06-21,893334
2017-06-22,878458
2017-06-23,848293
2017-06-24,791949
2017-06-25,812327
2017-06-26,863597
2017-06-27,871298
2017-06-28,876743
2017-06-29,872636
2017-06-30,879334
2017-07-01,839663
2017-07-02,830095
2017-07-03,866396
2017-07-04,869476
2017-07-05,856500
2017-07-06,861544
2017-07-07,847947
2017-07-08,770471
2017-07-09,763494
2017-07-10,830476
2017-07-11,828612
2017-07-12,808307
2017-07-13,794713
2017-07-14,803354
2017-07-15,758918
2017-07-16,750418
2017-07-17,816758
2017-07-18,819358
2017-07-19,837225
2017-07-20,843769
2017-07-21,835447
2017-07-22,768280
2017-07-23,773393
2017-07-24,850309
2017-07-25,845671
2017-07-26,846536
2017-07-27,831745
2017-07-28,801507
2017-07-29,881872
2017-07-30,772929
2017-07-31,815200
2017-08-01,804278
2017-08-02,803990
2017-08-03,794798
2017-08-04,775355
2017-08-05,723700
2017-08-06,705176
2017-08-07,751009
2017-08-08,762993
2017-08-09,766672
2017-08-10,931905
2017-08-11,748249
2017-08-12,699416
2017-08-13,702535
2017-08-14,713854
2017-08-15,667864
2017-08-16,719879
2017-08-17,733158
2017-08-18,699476
2017-08-19,670208
2017-08-20,680720
2017-08-21,728164
2017-08-22,740796
2017-08-23,746354
2017-08-24,737838
2017-08-25,748231
2017-08-26,706805
2017-08-27,720440
2017-08-28,793670
2017-08-29,780937
2017-08-30,753976
2017-08-31,757029
2017-09-01,771914
2017-09-02,738414
2017-09-03,728974
2017-09-04,775471
2017-09-05,771547
2017-09-06,754796
2017-09-07,768918
2017-09-08,747989
2017-09-09,725271
2017-09-10,734139
2017-09-11,787453
2017-09-12,822791
2017-09-13,773821
2017-09-14,768885
2017-09-15,751648
2017-09-16,725244
2017-09-17,713719
2017-09-18,782657
2017-09-19,789276
2017-09-20,786594
2017-09-21,772421
2017-09-22,777204
2017-09-23,721784
2017-09-24,717377
2017-09-25,794542
2017-09-26,794719
2017-09-27,787661
2017-09-28,805534
2017-09-29,757078
2017-09-30,700805
2017-10-01,706302
2017-10-02,758768
2017-10-03,765785
2017-10-04,762049
2017-10-05,759079
2017-10-06,734797
2017-10-07,698682
2017-10-08,712457
2017-10-09,761072
2017-10-10,745224
2017-10-11,746332
2017-10-12,747032
2017-10-13,752225
2017-10-14,710143
2017-10-15,688562
2017-10-16,729991
2017-10-17,721656
2017-10-18,726176
2017-10-19,747796
2017-10-20,738373
2017-10-21,694983
2017-10-22,728349
2017-10-23,766862
2017-10-24,769708
2017-10-25,773779
2017-10-26,761322
2017-10-27,798914
2017-10-28,683928
2017-10-29,693223
2017-10-30,750928
2017-10-31,739028
2017-11-01,715644
2017-11-02,759842
2017-11-03,733056
2017-11-04,686133
2017-11-05,701530
2017-11-06,726129
2017-11-07,723466
2017-11-08,732238
2017-11-09,920500
2017-11-10,751293
2017-11-11,703545
2017-11-12,706927
2017-11-13,737222
2017-11-14,718764
2017-11-15,701496
2017-11-16,730728
2017-11-17,722405
2017-11-18,876111
2017-11-19,1287569
2017-11-20,731583
2017-11-21,729769
2017-11-22,722433
2017-11-23,735436
2017-11-24,712975
2017-11-25,694646
2017-11-26,702717
2017-11-27,756563
2017-11-28,769196
2017-11-29,768995
2017-11-30,779973
2017-12-01,752790
2017-12-02,705830
2017-12-03,677288
2017-12-04,738227
2017-12-05,735283
2017-12-06,713447
2017-12-07,700325
2017-12-08,686813
2017-12-09,671233
2017-12-10,686958
2017-12-11,741867
2017-12-12,764173
2017-12-13,716194
2017-12-14,701502
2017-12-15,674535
2017-12-16,619233
2017-12-17,660902
2017-12-18,742145
2017-12-19,686767
2017-12-20,673677
2017-12-21,675951
2017-12-22,647101
2017-12-23,588295
2017-12-24,585949
2017-12-25,583164
2017-12-26,613805
2017-12-27,641199
2017-12-28,636303
2017-12-29,617823
2017-12-30,589299
2017-12-31,569660
2018-01-01,593241
2018-01-02,654515
2018-01-03,685084
2018-01-04,714268
2018-01-05,694155
2018-01-06,623674
2018-01-07,645723
2018-01-08,690924
2018-01-09,713850
2018-01-10,706721
2018-01-11,688113
2018-01-12,670198
2018-01-13,624733
2018-01-14,627936
2018-01-15,691212
2018-01-16,700452
2018-01-17,724143
2018-01-18,683737
2018-01-19,669099
2018-01-20,610760
