Date,"Asma"
2016-10-12,282
2016-10-13,289
2016-10-14,318
2016-10-15,258
2016-10-16,259
2016-10-17,338
2016-10-18,336
2016-10-19,350
2016-10-20,277
2016-10-21,250
2016-10-22,243
2016-10-23,286
2016-10-24,327
2016-10-25,343
2016-10-26,341
2016-10-27,348
2016-10-28,320
2016-10-29,214
2016-10-30,233
2016-10-31,271
2016-11-01,264
2016-11-02,314
2016-11-03,294
2016-11-04,296
2016-11-05,275
2016-11-06,308
2016-11-07,316
2016-11-08,330
2016-11-09,298
2016-11-10,315
2016-11-11,322
2016-11-12,241
2016-11-13,304
2016-11-14,325
2016-11-15,393
2016-11-16,329
2016-11-17,292
2016-11-18,313
2016-11-19,300
2016-11-20,344
2016-11-21,371
2016-11-22,405
2016-11-23,347
2016-11-24,347
2016-11-25,296
2016-11-26,297
2016-11-27,276
2016-11-28,327
2016-11-29,285
2016-11-30,300
2016-12-01,314
2016-12-02,294
2016-12-03,237
2016-12-04,240
2016-12-05,389
2016-12-06,299
2016-12-07,263
2016-12-08,262
2016-12-09,286
2016-12-10,248
2016-12-11,301
2016-12-12,330
2016-12-13,397
2016-12-14,345
2016-12-15,290
2016-12-16,316
2016-12-17,280
2016-12-18,298
2016-12-19,332
2016-12-20,331
2016-12-21,306
2016-12-22,264
2016-12-23,297
2016-12-24,192
2016-12-25,177
2016-12-26,248
2016-12-27,320
2016-12-28,387
2016-12-29,359
2016-12-30,293
2016-12-31,195
2017-01-01,237
2017-01-02,335
2017-01-03,366
2017-01-04,418
2017-01-05,356
2017-01-06,324
2017-01-07,306
2017-01-08,294
2017-01-09,352
2017-01-10,382
2017-01-11,356
2017-01-12,315
2017-01-13,375
2017-01-14,348
2017-01-15,345
2017-01-16,418
2017-01-17,418
2017-01-18,436
2017-01-19,355
2017-01-20,368
2017-01-21,288
2017-01-22,289
2017-01-23,398
2017-01-24,394
2017-01-25,360
2017-01-26,360
2017-01-27,347
2017-01-28,318
2017-01-29,374
2017-01-30,414
2017-01-31,404
2017-02-01,404
2017-02-02,409
2017-02-03,381
2017-02-04,360
2017-02-05,380
2017-02-06,419
2017-02-07,438
2017-02-08,444
2017-02-09,427
2017-02-10,353
2017-02-11,332
2017-02-12,331
2017-02-13,373
2017-02-14,370
2017-02-15,367
2017-02-16,335
2017-02-17,374
2017-02-18,358
2017-02-19,399
2017-02-20,400
2017-02-21,453
2017-02-22,400
2017-02-23,417
2017-02-24,319
2017-02-25,279
2017-02-26,367
2017-02-27,457
2017-02-28,342
2017-03-01,363
2017-03-02,362
2017-03-03,352
2017-03-04,263
2017-03-05,350
2017-03-06,437
2017-03-07,352
2017-03-08,324
2017-03-09,345
2017-03-10,314
2017-03-11,276
2017-03-12,252
2017-03-13,330
2017-03-14,320
2017-03-15,331
2017-03-16,262
2017-03-17,306
2017-03-18,228
2017-03-19,265
2017-03-20,331
2017-03-21,429
2017-03-22,325
2017-03-23,336
2017-03-24,306
2017-03-25,231
2017-03-26,243
2017-03-27,316
2017-03-28,363
2017-03-29,359
2017-03-30,308
2017-03-31,276
2017-04-01,215
2017-04-02,278
2017-04-03,365
2017-04-04,321
2017-04-05,321
2017-04-06,333
2017-04-07,266
2017-04-08,288
2017-04-09,292
2017-04-10,350
2017-04-11,278
2017-04-12,309
2017-04-13,275
2017-04-14,266
2017-04-15,193
2017-04-16,230
2017-04-17,252
2017-04-18,356
2017-04-19,346
2017-04-20,337
2017-04-21,260
2017-04-22,229
2017-04-23,252
2017-04-24,271
2017-04-25,281
2017-04-26,323
2017-04-27,291
2017-04-28,342
2017-04-29,302
2017-04-30,255
2017-05-01,285
2017-05-02,332
2017-05-03,320
2017-05-04,281
2017-05-05,250
2017-05-06,239
2017-05-07,232
2017-05-08,269
2017-05-09,283
2017-05-10,391
2017-05-11,284
2017-05-12,228
2017-05-13,217
2017-05-14,216
2017-05-15,357
2017-05-16,321
2017-05-17,312
2017-05-18,349
2017-05-19,298
2017-05-20,305
