Date,"Broncopneumopatia cronica ostruttiva"
2017-10-11,323
2017-10-12,258
2017-10-13,247
2017-10-14,192
2017-10-15,220
2017-10-16,318
2017-10-17,295
2017-10-18,355
2017-10-19,292
2017-10-20,311
2017-10-21,205
2017-10-22,238
2017-10-23,316
2017-10-24,326
2017-10-25,321
2017-10-26,289
2017-10-27,243
2017-10-28,190
2017-10-29,210
2017-10-30,253
2017-10-31,246
2017-11-01,216
2017-11-02,280
2017-11-03,269
2017-11-04,247
2017-11-05,249
2017-11-06,318
2017-11-07,326
2017-11-08,308
2017-11-09,315
2017-11-10,282
2017-11-11,261
2017-11-12,214
2017-11-13,328
2017-11-14,324
2017-11-15,339
2017-11-16,326
2017-11-17,317
2017-11-18,268
2017-11-19,234
2017-11-20,333
2017-11-21,347
2017-11-22,346
2017-11-23,262
2017-11-24,250
2017-11-25,217
2017-11-26,254
2017-11-27,291
2017-11-28,291
2017-11-29,276
2017-11-30,253
2017-12-01,219
2017-12-02,184
2017-12-03,206
2017-12-04,263
2017-12-05,278
2017-12-06,270
2017-12-07,196
2017-12-08,208
2017-12-09,195
2017-12-10,199
2017-12-11,241
2017-12-12,253
2017-12-13,292
2017-12-14,264
2017-12-15,252
2017-12-16,205
2017-12-17,205
2017-12-18,266
2017-12-19,261
2017-12-20,242
2017-12-21,203
2017-12-22,211
2017-12-23,128
2017-12-24,126
2017-12-25,150
2017-12-26,205
2017-12-27,217
2017-12-28,229
2017-12-29,231
2017-12-30,188
2017-12-31,141
2018-01-01,157
2018-01-02,291
2018-01-03,271
2018-01-04,302
2018-01-05,274
2018-01-06,236
2018-01-07,237
2018-01-08,303
2018-01-09,333
2018-01-10,303
2018-01-11,360
2018-01-12,348
2018-01-13,311
2018-01-14,299
2018-01-15,315
2018-01-16,308
2018-01-17,297
2018-01-18,300
2018-01-19,277
2018-01-20,231
2018-01-21,211
2018-01-22,320
2018-01-23,344
2018-01-24,308
2018-01-25,276
2018-01-26,258
2018-01-27,214
2018-01-28,205
2018-01-29,323
2018-01-30,330
2018-01-31,316
2018-02-01,292
2018-02-02,274
2018-02-03,203
2018-02-04,231
2018-02-05,272
2018-02-06,268
2018-02-07,265
2018-02-08,268
2018-02-09,239
2018-02-10,271
2018-02-11,256
2018-02-12,387
2018-02-13,431
2018-02-14,360
2018-02-15,386
2018-02-16,390
2018-02-17,279
2018-02-18,290
2018-02-19,459
2018-02-20,417
2018-02-21,278
2018-02-22,276
2018-02-23,289
2018-02-24,269
2018-02-25,339
2018-02-26,299
2018-02-27,327
2018-02-28,263
2018-03-01,313
2018-03-02,287
2018-03-03,265
2018-03-04,244
2018-03-05,248
2018-03-06,246
2018-03-07,276
2018-03-08,242
2018-03-09,227
2018-03-10,216
2018-03-11,205
2018-03-12,254
2018-03-13,275
2018-03-14,248
2018-03-15,282
2018-03-16,248
2018-03-17,203
2018-03-18,181
2018-03-19,241
2018-03-20,272
2018-03-21,285
2018-03-22,281
2018-03-23,239
2018-03-24,168
2018-03-25,202
2018-03-26,223
2018-03-27,251
2018-03-28,189
2018-03-29,281
2018-03-30,213
2018-03-31,155
2018-04-01,167
2018-04-02,148
2018-04-03,242
2018-04-04,267
2018-04-05,257
2018-04-06,178
2018-04-07,163
2018-04-08,167
2018-04-09,256
2018-04-10,229
2018-04-11,270
2018-04-12,273
2018-04-13,231
2018-04-14,190
2018-04-15,185
2018-04-16,260
2018-04-17,251
2018-04-18,333
2018-04-19,246
2018-04-20,216
2018-04-21,176
2018-04-22,169
2018-04-23,189
2018-04-24,193
2018-04-25,167
2018-04-26,228
2018-04-27,196
2018-04-28,170
2018-04-29,152
2018-04-30,180
2018-05-01,159
2018-05-02,267
2018-05-03,276
2018-05-04,245
2018-05-05,195
2018-05-06,189
2018-05-07,246
2018-05-08,235
2018-05-09,290
2018-05-10,280
2018-05-11,266
2018-05-12,199
2018-05-13,192
2018-05-14,259
2018-05-15,285
2018-05-16,260
2018-05-17,281
2018-05-18,234
2018-05-19,167
2018-05-20,195
2018-05-21,238
2018-05-22,266
2018-05-23,385
2018-05-24,294
2018-05-25,258
2018-05-26,194
2018-05-27,188
2018-05-28,262
2018-05-29,289
2018-05-30,256
2018-05-31,287
2018-06-01,234
2018-06-02,230
2018-06-03,219
2018-06-04,268
2018-06-05,329
2018-06-06,315
2018-06-07,325
2018-06-08,234
2018-06-09,195
2018-06-10,179
2018-06-11,282
2018-06-12,275
2018-06-13,288
2018-06-14,333
2018-06-15,226
2018-06-16,273
2018-06-17,218
2018-06-18,368
2018-06-19,273
2018-06-20,286
2018-06-21,280
2018-06-22,197
2018-06-23,216
2018-06-24,251
2018-06-25,292
2018-06-26,263
2018-06-27,306
2018-06-28,261
2018-06-29,213
2018-06-30,203
2018-07-01,217
2018-07-02,319
2018-07-03,260
2018-07-04,190
2018-07-05,224
2018-07-06,283
2018-07-07,194
2018-07-08,227
2018-07-09,288
2018-07-10,262
2018-07-11,285
2018-07-12,250
2018-07-13,224
2018-07-14,185
2018-07-15,195
2018-07-16,330
2018-07-17,247
2018-07-18,223
2018-07-19,202
2018-07-20,236
2018-07-21,201
2018-07-22,173
2018-07-23,203
2018-07-24,201
2018-07-25,226
2018-07-26,199
2018-07-27,149
2018-07-28,89
2018-07-29,120
