Date,"Mialgia"
2017-09-11,83
2017-09-12,139
2017-09-13,101
2017-09-14,212
2017-09-15,175
2017-09-16,96
2017-09-17,95
2017-09-18,103
2017-09-19,91
2017-09-20,119
2017-09-21,95
2017-09-22,87
2017-09-23,73
2017-09-24,91
2017-09-25,101
2017-09-26,115
2017-09-27,119
2017-09-28,117
2017-09-29,79
2017-09-30,88
2017-10-01,92
2017-10-02,131
2017-10-03,110
2017-10-04,130
2017-10-05,111
2017-10-06,83
2017-10-07,85
2017-10-08,81
2017-10-09,109
2017-10-10,87
2017-10-11,80
2017-10-12,97
2017-10-13,68
2017-10-14,83
2017-10-15,72
2017-10-16,110
2017-10-17,111
2017-10-18,92
2017-10-19,79
2017-10-20,83
2017-10-21,93
2017-10-22,81
2017-10-23,76
2017-10-24,85
2017-10-25,103
2017-10-26,109
2017-10-27,92
2017-10-28,80
2017-10-29,88
2017-10-30,91
2017-10-31,91
2017-11-01,76
2017-11-02,113
2017-11-03,105
2017-11-04,107
2017-11-05,97
2017-11-06,91
2017-11-07,108
2017-11-08,110
2017-11-09,87
2017-11-10,89
2017-11-11,87
2017-11-12,105
2017-11-13,108
2017-11-14,113
2017-11-15,113
2017-11-16,100
2017-11-17,104
2017-11-18,78
2017-11-19,84
2017-11-20,107
2017-11-21,94
2017-11-22,101
2017-11-23,125
2017-11-24,90
2017-11-25,65
2017-11-26,89
2017-11-27,94
2017-11-28,108
2017-11-29,116
2017-11-30,89
2017-12-01,85
2017-12-02,79
2017-12-03,82
2017-12-04,91
2017-12-05,106
2017-12-06,114
2017-12-07,96
2017-12-08,88
2017-12-09,86
2017-12-10,95
2017-12-11,95
2017-12-12,76
2017-12-13,112
2017-12-14,86
2017-12-15,73
2017-12-16,81
2017-12-17,87
2017-12-18,93
2017-12-19,83
2017-12-20,94
2017-12-21,82
2017-12-22,76
2017-12-23,84
2017-12-24,73
2017-12-25,68
2017-12-26,107
2017-12-27,119
2017-12-28,113
2017-12-29,114
2017-12-30,83
2017-12-31,72
2018-01-01,93
2018-01-02,123
2018-01-03,144
