Date,"Rinite"
2017-09-13,86
2017-09-14,102
2017-09-15,126
2017-09-16,110
2017-09-17,111
2017-09-18,155
2017-09-19,119
2017-09-20,164
2017-09-21,164
2017-09-22,189
2017-09-23,163
2017-09-24,190
2017-09-25,214
2017-09-26,169
2017-09-27,182
2017-09-28,188
2017-09-29,181
2017-09-30,142
2017-10-01,172
2017-10-02,216
2017-10-03,183
2017-10-04,179
2017-10-05,172
2017-10-06,172
2017-10-07,139
2017-10-08,141
2017-10-09,169
2017-10-10,160
2017-10-11,152
2017-10-12,145
2017-10-13,146
2017-10-14,120
2017-10-15,122
2017-10-16,146
2017-10-17,153
2017-10-18,161
2017-10-19,170
2017-10-20,133
2017-10-21,109
2017-10-22,124
2017-10-23,144
2017-10-24,136
2017-10-25,161
2017-10-26,144
2017-10-27,137
2017-10-28,110
2017-10-29,97
2017-10-30,125
2017-10-31,114
2017-11-01,121
2017-11-02,154
2017-11-03,142
2017-11-04,125
2017-11-05,109
2017-11-06,159
2017-11-07,126
2017-11-08,136
2017-11-09,153
2017-11-10,127
2017-11-11,123
2017-11-12,112
2017-11-13,137
2017-11-14,162
2017-11-15,178
2017-11-16,180
2017-11-17,115
2017-11-18,102
2017-11-19,114
2017-11-20,154
2017-11-21,163
2017-11-22,168
2017-11-23,144
2017-11-24,137
2017-11-25,104
2017-11-26,134
2017-11-27,163
2017-11-28,154
2017-11-29,128
2017-11-30,145
2017-12-01,127
2017-12-02,140
2017-12-03,160
2017-12-04,161
2017-12-05,163
2017-12-06,140
2017-12-07,122
2017-12-08,125
2017-12-09,118
2017-12-10,122
2017-12-11,188
2017-12-12,151
2017-12-13,172
2017-12-14,201
2017-12-15,134
2017-12-16,146
2017-12-17,131
2017-12-18,164
2017-12-19,173
2017-12-20,191
2017-12-21,153
2017-12-22,132
2017-12-23,113
2017-12-24,121
2017-12-25,141
2017-12-26,165
2017-12-27,195
2017-12-28,198
2017-12-29,217
2017-12-30,196
2017-12-31,129
2018-01-01,141
2018-01-02,276
2018-01-03,223
2018-01-04,207
2018-01-05,198
2018-01-06,152
2018-01-07,181
2018-01-08,181
2018-01-09,220
2018-01-10,229
2018-01-11,191
2018-01-12,189
2018-01-13,170
2018-01-14,175
2018-01-15,176
2018-01-16,183
2018-01-17,201
2018-01-18,209
2018-01-19,199
2018-01-20,126
2018-01-21,153
2018-01-22,164
2018-01-23,218
2018-01-24,198
2018-01-25,205
2018-01-26,188
2018-01-27,165
2018-01-28,150
2018-01-29,206
2018-01-30,215
2018-01-31,206
2018-02-01,207
2018-02-02,171
2018-02-03,144
2018-02-04,145
2018-02-05,202
2018-02-06,234
2018-02-07,188
2018-02-08,202
2018-02-09,192
2018-02-10,167
2018-02-11,160
2018-02-12,193
2018-02-13,197
2018-02-14,216
2018-02-15,219
2018-02-16,198
2018-02-17,196
2018-02-18,261
2018-02-19,239
2018-02-20,224
2018-02-21,217
2018-02-22,196
2018-02-23,184
2018-02-24,173
2018-02-25,163
2018-02-26,176
2018-02-27,182
2018-02-28,194
2018-03-01,182
2018-03-02,177
2018-03-03,157
2018-03-04,145
2018-03-05,145
2018-03-06,190
2018-03-07,208
2018-03-08,182
2018-03-09,189
2018-03-10,154
2018-03-11,158
2018-03-12,192
2018-03-13,193
2018-03-14,218
2018-03-15,194
2018-03-16,158
2018-03-17,144
2018-03-18,170
2018-03-19,175
2018-03-20,185
2018-03-21,226
2018-03-22,183
2018-03-23,186
2018-03-24,177
2018-03-25,174
2018-03-26,211
2018-03-27,227
2018-03-28,196
2018-03-29,249
2018-03-30,192
2018-03-31,150
2018-04-01,125
2018-04-02,114
2018-04-03,193
2018-04-04,184
2018-04-05,190
2018-04-06,179
2018-04-07,147
2018-04-08,157
2018-04-09,184
2018-04-10,150
2018-04-11,179
2018-04-12,173
2018-04-13,195
2018-04-14,154
2018-04-15,212
2018-04-16,233
2018-04-17,190
2018-04-18,223
2018-04-19,203
2018-04-20,209
2018-04-21,180
2018-04-22,198
2018-04-23,270
2018-04-24,185
2018-04-25,191
2018-04-26,244
2018-04-27,202
2018-04-28,211
2018-04-29,186
2018-04-30,217
2018-05-01,159
2018-05-02,182
2018-05-03,210
2018-05-04,148
2018-05-05,99
2018-05-06,174
2018-05-07,152
2018-05-08,146
2018-05-09,197
2018-05-10,145
2018-05-11,162
2018-05-12,138
2018-05-13,142
2018-05-14,159
2018-05-15,152
2018-05-16,143
2018-05-17,164
2018-05-18,145
2018-05-19,119
2018-05-20,145
2018-05-21,175
2018-05-22,154
2018-05-23,149
2018-05-24,153
2018-05-25,151
2018-05-26,154
2018-05-27,129
2018-05-28,149
2018-05-29,150
2018-05-30,159
2018-05-31,165
2018-06-01,118
2018-06-02,116
2018-06-03,138
2018-06-04,160
2018-06-05,156
2018-06-06,130
2018-06-07,118
2018-06-08,126
