Date,"Sarcoidosi"
2016-12-21,320
2016-12-22,305
2016-12-23,241
2016-12-24,152
2016-12-25,143
2016-12-26,190
2016-12-27,248
2016-12-28,335
2016-12-29,301
2016-12-30,229
2016-12-31,148
2017-01-01,182
2017-01-02,254
2017-01-03,357
2017-01-04,286
2017-01-05,259
2017-01-06,289
2017-01-07,231
2017-01-08,228
2017-01-09,319
2017-01-10,279
2017-01-11,345
2017-01-12,367
2017-01-13,424
2017-01-14,291
2017-01-15,268
2017-01-16,362
2017-01-17,439
2017-01-18,365
2017-01-19,365
2017-01-20,383
2017-01-21,294
2017-01-22,414
2017-01-23,383
2017-01-24,386
2017-01-25,380
2017-01-26,358
2017-01-27,349
2017-01-28,272
2017-01-29,269
2017-01-30,403
2017-01-31,383
2017-02-01,358
2017-02-02,416
2017-02-03,367
2017-02-04,318
2017-02-05,309
2017-02-06,352
2017-02-07,402
2017-02-08,351
2017-02-09,391
2017-02-10,493
2017-02-11,292
2017-02-12,256
2017-02-13,363
2017-02-14,398
2017-02-15,359
2017-02-16,374
2017-02-17,392
2017-02-18,285
2017-02-19,278
2017-02-20,381
2017-02-21,369
2017-02-22,381
2017-02-23,322
2017-02-24,347
2017-02-25,232
2017-02-26,239
2017-02-27,338
2017-02-28,299
2017-03-01,303
2017-03-02,277
2017-03-03,366
2017-03-04,199
2017-03-05,275
2017-03-06,321
2017-03-07,369
2017-03-08,297
2017-03-09,305
2017-03-10,274
2017-03-11,257
2017-03-12,203
2017-03-13,232
2017-03-14,272
2017-03-15,310
2017-03-16,334
2017-03-17,223
2017-03-18,193
2017-03-19,239
2017-03-20,314
2017-03-21,414
2017-03-22,343
2017-03-23,336
2017-03-24,306
2017-03-25,207
2017-03-26,198
2017-03-27,295
2017-03-28,310
2017-03-29,398
2017-03-30,332
2017-03-31,296
2017-04-01,233
2017-04-02,235
2017-04-03,307
2017-04-04,283
2017-04-05,349
2017-04-06,310
2017-04-07,352
2017-04-08,206
2017-04-09,205
2017-04-10,310
2017-04-11,365
2017-04-12,325
2017-04-13,283
2017-04-14,272
2017-04-15,201
2017-04-16,194
2017-04-17,251
2017-04-18,573
2017-04-19,405
2017-04-20,331
2017-04-21,326
2017-04-22,219
2017-04-23,338
2017-04-24,312
2017-04-25,462
2017-04-26,395
2017-04-27,397
2017-04-28,350
2017-04-29,248
2017-04-30,216
2017-05-01,228
2017-05-02,313
2017-05-03,328
2017-05-04,456
2017-05-05,372
2017-05-06,293
2017-05-07,253
2017-05-08,294
2017-05-09,317
2017-05-10,284
2017-05-11,328
2017-05-12,254
2017-05-13,199
2017-05-14,255
2017-05-15,296
2017-05-16,345
2017-05-17,581
2017-05-18,382
2017-05-19,313
2017-05-20,337
2017-05-21,244
2017-05-22,312
2017-05-23,314
2017-05-24,321
2017-05-25,334
2017-05-26,320
2017-05-27,254
2017-05-28,227
2017-05-29,351
2017-05-30,363
2017-05-31,343
2017-06-01,351
2017-06-02,231
2017-06-03,223
2017-06-04,205
2017-06-05,362
2017-06-06,409
2017-06-07,360
2017-06-08,354
2017-06-09,319
2017-06-10,269
2017-06-11,241
2017-06-12,416
2017-06-13,411
2017-06-14,357
2017-06-15,394
2017-06-16,312
2017-06-17,257
2017-06-18,236
2017-06-19,366
2017-06-20,367
2017-06-21,352
2017-06-22,463
2017-06-23,325
2017-06-24,246
2017-06-25,413
2017-06-26,358
2017-06-27,400
2017-06-28,352
2017-06-29,360
2017-06-30,338
2017-07-01,227
2017-07-02,241
2017-07-03,346
2017-07-04,368
2017-07-05,340
2017-07-06,379
2017-07-07,293
2017-07-08,276
2017-07-09,254
2017-07-10,400
2017-07-11,375
2017-07-12,501
2017-07-13,371
2017-07-14,337
2017-07-15,257
2017-07-16,277
2017-07-17,358
2017-07-18,391
2017-07-19,325
2017-07-20,312
2017-07-21,340
2017-07-22,225
2017-07-23,221
2017-07-24,320
2017-07-25,313
2017-07-26,339
2017-07-27,334
2017-07-28,267
2017-07-29,285
2017-07-30,197
2017-07-31,279
2017-08-01,295
2017-08-02,278
2017-08-03,259
2017-08-04,288
2017-08-05,198
2017-08-06,188
2017-08-07,234
2017-08-08,503
2017-08-09,272
2017-08-10,280
2017-08-11,245
2017-08-12,175
2017-08-13,156
2017-08-14,190
2017-08-15,146
2017-08-16,222
2017-08-17,264
2017-08-18,221
2017-08-19,226
2017-08-20,210
2017-08-21,230
2017-08-22,232
2017-08-23,289
2017-08-24,248
2017-08-25,277
2017-08-26,210
2017-08-27,201
2017-08-28,290
2017-08-29,348
2017-08-30,374
2017-08-31,307
2017-09-01,302
2017-09-02,238
2017-09-03,232
2017-09-04,329
2017-09-05,350
