Date,"Vomito"
2016-11-03,153
2016-11-04,147
2016-11-05,136
2016-11-06,189
2016-11-07,210
2016-11-08,198
2016-11-09,169
2016-11-10,175
2016-11-11,190
2016-11-12,210
2016-11-13,218
2016-11-14,223
2016-11-15,230
2016-11-16,205
2016-11-17,191
2016-11-18,183
2016-11-19,228
2016-11-20,246
2016-11-21,225
2016-11-22,254
2016-11-23,212
2016-11-24,197
2016-11-25,155
2016-11-26,157
2016-11-27,200
2016-11-28,190
2016-11-29,207
2016-11-30,179
2016-12-01,207
2016-12-02,219
2016-12-03,207
2016-12-04,242
2016-12-05,259
2016-12-06,225
2016-12-07,239
2016-12-08,221
2016-12-09,238
2016-12-10,200
2016-12-11,202
2016-12-12,226
2016-12-13,207
2016-12-14,228
2016-12-15,210
2016-12-16,170
2016-12-17,210
2016-12-18,226
2016-12-19,243
2016-12-20,241
2016-12-21,212
2016-12-22,219
2016-12-23,177
2016-12-24,136
2016-12-25,213
2016-12-26,276
2016-12-27,278
2016-12-28,257
2016-12-29,256
2016-12-30,231
2016-12-31,146
2017-01-01,264
2017-01-02,347
2017-01-03,294
2017-01-04,215
2017-01-05,224
2017-01-06,231
2017-01-07,268
2017-01-08,267
2017-01-09,240
2017-01-10,227
2017-01-11,197
2017-01-12,196
2017-01-13,192
2017-01-14,185
2017-01-15,233
2017-01-16,213
2017-01-17,231
2017-01-18,198
2017-01-19,211
2017-01-20,245
2017-01-21,182
2017-01-22,216
2017-01-23,237
2017-01-24,191
2017-01-25,178
2017-01-26,227
2017-01-27,177
2017-01-28,190
2017-01-29,236
2017-01-30,262
2017-01-31,234
2017-02-01,235
2017-02-02,211
2017-02-03,225
2017-02-04,163
2017-02-05,244
2017-02-06,256
2017-02-07,227
2017-02-08,227
2017-02-09,214
2017-02-10,197
2017-02-11,200
2017-02-12,214
2017-02-13,223
2017-02-14,186
2017-02-15,215
2017-02-16,234
2017-02-17,177
2017-02-18,207
2017-02-19,205
2017-02-20,232
2017-02-21,254
2017-02-22,204
2017-02-23,186
2017-02-24,166
2017-02-25,191
2017-02-26,218
2017-02-27,180
2017-02-28,187
2017-03-01,182
2017-03-02,190
2017-03-03,155
2017-03-04,177
2017-03-05,178
2017-03-06,189
2017-03-07,152
2017-03-08,161
2017-03-09,188
2017-03-10,157
2017-03-11,175
2017-03-12,157
2017-03-13,179
2017-03-14,173
2017-03-15,171
2017-03-16,172
2017-03-17,130
2017-03-18,182
2017-03-19,192
2017-03-20,194
2017-03-21,220
2017-03-22,185
2017-03-23,175
2017-03-24,168
2017-03-25,147
2017-03-26,181
2017-03-27,178
2017-03-28,186
2017-03-29,172
2017-03-30,168
2017-03-31,135
2017-04-01,130
2017-04-02,184
2017-04-03,177
2017-04-04,167
2017-04-05,168
2017-04-06,138
2017-04-07,166
2017-04-08,136
2017-04-09,137
2017-04-10,159
2017-04-11,155
2017-04-12,155
2017-04-13,149
2017-04-14,120
2017-04-15,105
2017-04-16,124
2017-04-17,200
2017-04-18,190
2017-04-19,159
2017-04-20,123
2017-04-21,133
2017-04-22,133
2017-04-23,145
2017-04-24,138
2017-04-25,133
2017-04-26,176
2017-04-27,169
2017-04-28,115
2017-04-29,142
2017-04-30,149
2017-05-01,128
2017-05-02,156
2017-05-03,132
2017-05-04,136
2017-05-05,140
2017-05-06,106
2017-05-07,138
2017-05-08,148
2017-05-09,141
2017-05-10,103
2017-05-11,139
2017-05-12,130
2017-05-13,127
2017-05-14,124
2017-05-15,152
2017-05-16,145
2017-05-17,171
2017-05-18,141
2017-05-19,142
2017-05-20,140
2017-05-21,171
2017-05-22,136
2017-05-23,145
2017-05-24,179
2017-05-25,158
2017-05-26,141
2017-05-27,130
2017-05-28,153
2017-05-29,181
2017-05-30,123
2017-05-31,147
2017-06-01,118
2017-06-02,131
2017-06-03,136
2017-06-04,131
2017-06-05,172
2017-06-06,131
2017-06-07,118
2017-06-08,133
2017-06-09,151
2017-06-10,132
2017-06-11,100
2017-06-12,128
2017-06-13,152
2017-06-14,153
2017-06-15,144
2017-06-16,137
2017-06-17,139
2017-06-18,144
2017-06-19,160
2017-06-20,112
2017-06-21,145
2017-06-22,132
2017-06-23,148
2017-06-24,106
2017-06-25,130
2017-06-26,165
2017-06-27,195
2017-06-28,155
2017-06-29,148
2017-06-30,138
2017-07-01,110
2017-07-02,133
2017-07-03,136
2017-07-04,160
2017-07-05,137
2017-07-06,118
2017-07-07,131
2017-07-08,124
2017-07-09,122
2017-07-10,139
2017-07-11,136
2017-07-12,148
2017-07-13,145
2017-07-14,115
2017-07-15,114
2017-07-16,131
2017-07-17,126
2017-07-18,116
2017-07-19,131
2017-07-20,133
2017-07-21,132
2017-07-22,122
2017-07-23,110
2017-07-24,167
2017-07-25,131
2017-07-26,127
2017-07-27,119
2017-07-28,124
2017-07-29,98
2017-07-30,79
2017-07-31,117
2017-08-01,123
2017-08-02,120
2017-08-03,128
2017-08-04,92
2017-08-05,94
2017-08-06,112
2017-08-07,128
2017-08-08,122
2017-08-09,116
2017-08-10,101
2017-08-11,126
2017-08-12,96
2017-08-13,115
2017-08-14,125
2017-08-15,115
2017-08-16,125
2017-08-17,123
2017-08-18,113
2017-08-19,98
2017-08-20,115
2017-08-21,121
2017-08-22,127
2017-08-23,116
2017-08-24,138
2017-08-25,159
2017-08-26,117
2017-08-27,128
2017-08-28,151
2017-08-29,145
2017-08-30,134
2017-08-31,121
2017-09-01,127
2017-09-02,104
2017-09-03,127
2017-09-04,180
2017-09-05,147
2017-09-06,128
2017-09-07,161
2017-09-08,151
2017-09-09,171
2017-09-10,166
2017-09-11,155
2017-09-12,170
2017-09-13,160
2017-09-14,136
2017-09-15,130
2017-09-16,151
2017-09-17,157
2017-09-18,186
2017-09-19,142
2017-09-20,125
2017-09-21,121
2017-09-22,138
2017-09-23,109
2017-09-24,140
2017-09-25,176
2017-09-26,124
2017-09-27,176
2017-09-28,163
2017-09-29,136
2017-09-30,116
2017-10-01,117
2017-10-02,156
2017-10-03,183
2017-10-04,157
2017-10-05,143
2017-10-06,115
2017-10-07,131
2017-10-08,143
2017-10-09,138
2017-10-10,157
2017-10-11,132
2017-10-12,169
2017-10-13,148
2017-10-14,141
2017-10-15,146
2017-10-16,131
2017-10-17,152
2017-10-18,140
2017-10-19,129
2017-10-20,136
2017-10-21,129
2017-10-22,136
2017-10-23,150
2017-10-24,154
2017-10-25,169
2017-10-26,149
2017-10-27,121
2017-10-28,150
2017-10-29,146
2017-10-30,159
2017-10-31,138
2017-11-01,186
2017-11-02,138
2017-11-03,140
2017-11-04,141
2017-11-05,183
2017-11-06,155
2017-11-07,156
2017-11-08,144
2017-11-09,168
2017-11-10,175
2017-11-11,142
2017-11-12,155
2017-11-13,171
2017-11-14,176
2017-11-15,199
2017-11-16,133
2017-11-17,144
2017-11-18,147
2017-11-19,193
2017-11-20,168
2017-11-21,149
2017-11-22,164
2017-11-23,146
2017-11-24,140
2017-11-25,128
2017-11-26,155
2017-11-27,167
2017-11-28,141
2017-11-29,138
2017-11-30,136
2017-12-01,141
2017-12-02,135
2017-12-03,162
2017-12-04,146
2017-12-05,175
2017-12-06,140
2017-12-07,115
2017-12-08,152
2017-12-09,165
2017-12-10,189
2017-12-11,167
2017-12-12,174
2017-12-13,134
2017-12-14,179
2017-12-15,130
2017-12-16,120
2017-12-17,183
2017-12-18,163
2017-12-19,134
2017-12-20,115
2017-12-21,128
2017-12-22,131
2017-12-23,101
2017-12-24,127
2017-12-25,178
2017-12-26,230
2017-12-27,230
2017-12-28,181
2017-12-29,189
2017-12-30,145
2017-12-31,128
2018-01-01,210
2018-01-02,212
2018-01-03,186
2018-01-04,170
2018-01-05,163
2018-01-06,163
2018-01-07,196
2018-01-08,195
2018-01-09,177
2018-01-10,170
2018-01-11,143
2018-01-12,150
2018-01-13,156
2018-01-14,170
2018-01-15,160
2018-01-16,157
2018-01-17,159
2018-01-18,157
2018-01-19,146
2018-01-20,156
2018-01-21,162
2018-01-22,206
2018-01-23,169
2018-01-24,181
2018-01-25,187
