Date,"Croup"
2017-01-19,49
2017-01-20,56
2017-01-21,67
2017-01-22,65
2017-01-23,69
2017-01-24,95
2017-01-25,45
2017-01-26,92
2017-01-27,70
2017-01-28,77
2017-01-29,56
2017-01-30,83
2017-01-31,70
2017-02-01,74
2017-02-02,81
2017-02-03,52
2017-02-04,48
2017-02-05,86
2017-02-06,79
2017-02-07,91
2017-02-08,78
2017-02-09,72
2017-02-10,61
2017-02-11,91
2017-02-12,56
2017-02-13,68
2017-02-14,55
2017-02-15,82
2017-02-16,75
2017-02-17,57
2017-02-18,52
2017-02-19,78
2017-02-20,75
2017-02-21,65
2017-02-22,63
2017-02-23,54
2017-02-24,49
2017-02-25,75
2017-02-26,62
2017-02-27,64
2017-02-28,53
2017-03-01,59
2017-03-02,37
2017-03-03,62
2017-03-04,39
2017-03-05,42
2017-03-06,49
2017-03-07,66
2017-03-08,38
2017-03-09,44
2017-03-10,47
2017-03-11,46
2017-03-12,55
2017-03-13,74
2017-03-14,64
2017-03-15,55
2017-03-16,44
2017-03-17,50
2017-03-18,59
2017-03-19,54
2017-03-20,83
2017-03-21,80
2017-03-22,57
2017-03-23,57
2017-03-24,52
2017-03-25,53
2017-03-26,62
2017-03-27,59
2017-03-28,64
2017-03-29,47
2017-03-30,48
2017-03-31,45
2017-04-01,52
2017-04-02,46
2017-04-03,44
2017-04-04,58
2017-04-05,53
2017-04-06,47
2017-04-07,42
2017-04-08,39
2017-04-09,54
2017-04-10,55
2017-04-11,63
2017-04-12,84
2017-04-13,56
2017-04-14,36
2017-04-15,32
2017-04-16,45
2017-04-17,44
2017-04-18,74
2017-04-19,59
2017-04-20,46
2017-04-21,32
2017-04-22,54
2017-04-23,43
2017-04-24,62
2017-04-25,82
2017-04-26,62
2017-04-27,88
2017-04-28,39
2017-04-29,34
2017-04-30,49
2017-05-01,42
2017-05-02,61
2017-05-03,62
2017-05-04,52
2017-05-05,72
2017-05-06,61
2017-05-07,59
2017-05-08,52
2017-05-09,66
2017-05-10,50
2017-05-11,57
2017-05-12,49
2017-05-13,56
2017-05-14,78
2017-05-15,97
2017-05-16,123
2017-05-17,81
2017-05-18,68
2017-05-19,100
2017-05-20,95
2017-05-21,106
2017-05-22,112
2017-05-23,81
2017-05-24,82
2017-05-25,79
2017-05-26,69
2017-05-27,82
2017-05-28,49
2017-05-29,66
2017-05-30,81
2017-05-31,81
2017-06-01,61
2017-06-02,56
2017-06-03,62
2017-06-04,72
2017-06-05,59
2017-06-06,61
2017-06-07,69
2017-06-08,62
2017-06-09,56
2017-06-10,48
2017-06-11,53
2017-06-12,78
